ControlParameters:
  0.0000000000e+00
SharedParameters:
  1.5000000000e-02,  0.0000000000e+00,  2.0000000000e+02,  1.8000000000e+02,  1.8000000000e-02,  0.0000000000e+00,  1.0000000000e+00,  6.0000000000e-01,  1.0000000000e+06,  1.0000000000e+03
IntegerSharedParameters:

Accessories:

IntegerAccessories:


Time series:
  0.0000000000e+00,  3.3959507217e-03,  1.8673231156e-01,  1.8664011371e-01,  1.9172430053e-01
  1.0000000000e-02,  3.3987794207e-03,  1.8684833791e-01,  1.8675612357e-01,  1.9184433657e-01
  4.0124683766e-02,  3.4073055036e-03,  1.8719769260e-01,  1.8710544300e-01,  1.9220579576e-01
  6.2616759472e-02,  3.4136759920e-03,  1.8745836473e-01,  1.8736608486e-01,  1.9247553019e-01
  8.8607061242e-02,  3.4210422466e-03,  1.8775940107e-01,  1.8766709285e-01,  1.9278706431e-01
  1.1042262401e-01,  3.4272294011e-03,  1.8801193507e-01,  1.8791959512e-01,  1.9304843118e-01
  1.3318237119e-01,  3.4336883571e-03,  1.8827525491e-01,  1.8818288453e-01,  1.9332098673e-01
  1.5742780202e-01,  3.4405734648e-03,  1.8855560166e-01,  1.8846320227e-01,  1.9361119493e-01
  1.8178692390e-01,  3.4474955839e-03,  1.8883709484e-01,  1.8874466794e-01,  1.9390261932e-01
  2.0447810112e-01,  3.4539480029e-03,  1.8909916157e-01,  1.8900670350e-01,  1.9417395825e-01
  2.2572879651e-01,  3.4599945652e-03,  1.8934445896e-01,  1.8925196761e-01,  1.9442795745e-01
  2.4760258781e-01,  3.4662222265e-03,  1.8959681453e-01,  1.8950429216e-01,  1.9468928821e-01
  2.7180794078e-01,  3.4731182212e-03,  1.8987591024e-01,  1.8978335814e-01,  1.9497833719e-01
  2.9734619015e-01,  3.4803991166e-03,  1.9017019366e-01,  1.9007761552e-01,  1.9528314609e-01
  3.1813155202e-01,  3.4863289064e-03,  1.9040957111e-01,  1.9031695815e-01,  1.9553110826e-01
  3.3943445719e-01,  3.4924100166e-03,  1.9065478099e-01,  1.9056213683e-01,  1.9578513335e-01
  3.6373591943e-01,  3.4993516479e-03,  1.9093434792e-01,  1.9084167367e-01,  1.9607477681e-01
  3.9019623391e-01,  3.5069154902e-03,  1.9123855863e-01,  1.9114585941e-01,  1.9638998385e-01
  4.1038550493e-01,  3.5126906204e-03,  1.9147053734e-01,  1.9137780205e-01,  1.9663036989e-01
  4.3148310824e-01,  3.5187291996e-03,  1.9171282834e-01,  1.9162006217e-01,  1.9688146220e-01
